dt,product,industry,apps
1/4/21,A,Consulting,25
1/4/21,A,Janitorial Services,22
1/5/21,B,Financial Services,64
1/5/21,B,Retail,202
1/5/21,B,Beauty Industry,73
1/5/21,B,Construction,16
1/5/21,B,Agriculture,4
1/5/21,B,Transportation,165
1/5/21,B,Communication Services,658
1/5/21,B,Consulting,77
1/5/21,B,Janitorial Services,80
1/5/21,A,Financial Services,24
1/5/21,A,Retail,79
1/5/21,A,Beauty Industry,35
1/5/21,A,Construction,7
1/5/21,A,Transportation,80
1/5/21,A,Communication Services,231
1/5/21,A,Consulting,41
1/5/21,A,Janitorial Services,24
1/6/21,B,Financial Services,60
1/6/21,B,Retail,180
1/6/21,B,Beauty Industry,79
1/6/21,B,Construction,13
1/6/21,B,Agriculture,3
1/6/21,B,Transportation,150
1/6/21,B,Communication Services,587
1/6/21,B,Consulting,65
1/6/21,B,Janitorial Services,64
1/6/21,A,Financial Services,15
1/6/21,A,Retail,65
1/6/21,A,Beauty Industry,26
1/6/21,A,Construction,8
1/6/21,A,Transportation,72
1/6/21,A,Communication Services,180
1/6/21,A,Consulting,30
1/6/21,A,Janitorial Services,25
1/7/21,B,Financial Services,59
1/7/21,B,Retail,189
1/7/21,B,Beauty Industry,71
1/7/21,B,Construction,7
1/7/21,B,Transportation,160
1/7/21,B,Communication Services,568
1/7/21,B,Consulting,65
1/7/21,B,Janitorial Services,49
1/7/21,A,Financial Services,22
1/7/21,A,Retail,66
1/7/21,A,Beauty Industry,29
1/7/21,A,Construction,6
1/7/21,A,Agriculture,4
1/7/21,A,Transportation,74
1/7/21,A,Communication Services,195
1/7/21,A,Consulting,24
1/7/21,A,Janitorial Services,21
1/8/21,B,Financial Services,48
1/8/21,B,Retail,158
1/8/21,B,Beauty Industry,55
1/8/21,B,Construction,8
1/8/21,B,Agriculture,3
1/8/21,B,Transportation,134
1/8/21,B,Communication Services,537
1/8/21,B,Consulting,61
1/8/21,B,Janitorial Services,62
1/8/21,A,Financial Services,26
1/8/21,A,Retail,59
1/8/21,A,Beauty Industry,26
1/8/21,A,Construction,5
1/8/21,A,Transportation,84
1/8/21,A,Communication Services,171
1/8/21,A,Consulting,28
1/8/21,A,Janitorial Services,13
1/9/21,B,Financial Services,29
1/9/21,B,Retail,90
1/9/21,B,Beauty Industry,22
1/9/21,B,Construction,4
1/9/21,B,Agriculture,3
1/9/21,B,Transportation,88
1/9/21,B,Communication Services,235
1/9/21,B,Consulting,41
1/9/21,B,Janitorial Services,27
1/9/21,A,Financial Services,11
1/9/21,A,Retail,44
1/9/21,A,Beauty Industry,18
1/9/21,A,Agriculture,6
1/9/21,A,Transportation,54
1/9/21,A,Communication Services,135
1/9/21,A,Consulting,18
1/9/21,A,Janitorial Services,10
1/10/21,B,Financial Services,18
1/10/21,B,Retail,74
1/10/21,B,Beauty Industry,36
1/10/21,B,Construction,4
1/10/21,B,Transportation,71
1/10/21,B,Communication Services,246
1/10/21,B,Consulting,37
1/10/21,B,Janitorial Services,32
1/10/21,A,Financial Services,13
1/10/21,A,Retail,48
1/10/21,A,Beauty Industry,10
1/10/21,A,Construction,4
1/10/21,A,Agriculture,4
1/10/21,A,Transportation,74
1/10/21,A,Communication Services,113
1/10/21,A,Consulting,14
1/10/21,A,Janitorial Services,17
1/11/21,B,Financial Services,65
1/11/21,B,Retail,169
1/11/21,B,Beauty Industry,65
1/11/21,B,Construction,11
1/11/21,B,Agriculture,4
1/11/21,B,Transportation,192
1/11/21,B,Communication Services,644
1/11/21,B,Consulting,76
1/11/21,B,Janitorial Services,76
1/11/21,A,Financial Services,26
1/11/21,A,Retail,66
1/11/21,A,Beauty Industry,21
1/11/21,A,Construction,9
1/11/21,A,Agriculture,3
1/11/21,A,Transportation,91
1/11/21,A,Communication Services,208
1/11/21,A,Consulting,33
1/11/21,A,Janitorial Services,19
1/12/21,B,Financial Services,53
1/12/21,B,Retail,185
1/12/21,B,Beauty Industry,76
1/12/21,B,Construction,11
1/12/21,B,Agriculture,3
1/12/21,B,Transportation,158
1/12/21,B,Communication Services,593
1/12/21,B,Consulting,82
1/12/21,B,Janitorial Services,96
1/12/21,A,Financial Services,24
1/12/21,A,Retail,55
1/12/21,A,Beauty Industry,25
1/12/21,A,Construction,9
1/12/21,A,Agriculture,5
1/12/21,A,Transportation,86
1/12/21,A,Communication Services,198
1/12/21,A,Consulting,35
1/12/21,A,Janitorial Services,11
1/13/21,B,Financial Services,40
1/13/21,B,Retail,156
1/13/21,B,Beauty Industry,60
1/13/21,B,Construction,11
1/13/21,B,Agriculture,3
1/13/21,B,Transportation,159
1/13/21,B,Communication Services,603
1/13/21,B,Consulting,80
1/13/21,B,Janitorial Services,59
1/13/21,A,Financial Services,17
1/13/21,A,Retail,63
1/13/21,A,Beauty Industry,20
1/13/21,A,Construction,6
1/13/21,A,Agriculture,3
1/13/21,A,Transportation,96
1/13/21,A,Communication Services,182
1/13/21,A,Consulting,32
1/13/21,A,Janitorial Services,24
1/14/21,B,Financial Services,47
1/14/21,B,Retail,167
1/14/21,B,Beauty Industry,81
1/14/21,B,Construction,6
1/14/21,B,Agriculture,5
1/14/21,B,Transportation,175
1/14/21,B,Communication Services,521
1/14/21,B,Consulting,75
1/14/21,B,Janitorial Services,49
1/14/21,A,Financial Services,35
1/14/21,A,Retail,62
1/14/21,A,Beauty Industry,20
1/14/21,A,Construction,9
1/14/21,A,Transportation,90
1/14/21,A,Communication Services,201
1/14/21,A,Consulting,22
1/14/21,A,Janitorial Services,27
1/15/21,B,Financial Services,30
1/15/21,B,Retail,125
1/15/21,B,Beauty Industry,71
1/15/21,B,Construction,13
1/15/21,B,Transportation,128
1/15/21,B,Communication Services,477
1/15/21,B,Consulting,55
1/15/21,B,Janitorial Services,43
1/15/21,A,Financial Services,24
1/15/21,A,Retail,58
1/15/21,A,Beauty Industry,28
1/15/21,A,Construction,5
1/15/21,A,Agriculture,3
1/15/21,A,Transportation,97
1/15/21,A,Communication Services,202
1/15/21,A,Consulting,40
1/15/21,A,Janitorial Services,22
1/16/21,B,Financial Services,14
1/16/21,B,Retail,60
1/16/21,B,Beauty Industry,20
1/16/21,B,Construction,4
1/16/21,B,Agriculture,4
1/16/21,B,Transportation,76
1/16/21,B,Communication Services,213
1/16/21,B,Consulting,44
1/16/21,B,Janitorial Services,18
1/16/21,A,Financial Services,18
1/16/21,A,Retail,38
1/16/21,A,Beauty Industry,17
1/16/21,A,Construction,4
1/16/21,A,Agriculture,3
1/16/21,A,Transportation,59
1/16/21,A,Communication Services,98
1/16/21,A,Consulting,24
1/16/21,A,Janitorial Services,9
1/17/21,B,Financial Services,27
1/17/21,B,Retail,72
1/17/21,B,Beauty Industry,21
1/17/21,B,Construction,4
1/17/21,B,Agriculture,5
1/17/21,B,Transportation,76
1/17/21,B,Communication Services,183
1/17/21,B,Consulting,26
1/17/21,B,Janitorial Services,18
1/17/21,A,Financial Services,8
1/17/21,A,Retail,31
1/17/21,A,Beauty Industry,13
1/17/21,A,Transportation,60
1/17/21,A,Communication Services,109
1/17/21,A,Consulting,21
1/17/21,A,Janitorial Services,10
1/18/21,B,Financial Services,52
1/18/21,B,Retail,159
1/18/21,B,Beauty Industry,55
1/18/21,B,Construction,9
1/18/21,B,Agriculture,3
1/18/21,B,Transportation,129
1/18/21,B,Communication Services,488
1/18/21,B,Consulting,80
1/18/21,B,Janitorial Services,71
1/18/21,A,Financial Services,25
1/18/21,A,Retail,62
1/18/21,A,Beauty Industry,17
1/18/21,A,Construction,4
1/18/21,A,Agriculture,4
1/18/21,A,Transportation,71
1/18/21,A,Communication Services,176
1/18/21,A,Consulting,20
1/18/21,A,Janitorial Services,26
1/19/21,B,Financial Services,42
1/19/21,B,Retail,182
1/19/21,B,Beauty Industry,64
1/19/21,B,Construction,15
1/19/21,B,Agriculture,3
1/19/21,B,Transportation,170
1/19/21,B,Communication Services,576
1/19/21,B,Consulting,79
1/19/21,B,Janitorial Services,66
1/19/21,A,Financial Services,21
1/19/21,A,Retail,75
1/19/21,A,Beauty Industry,27
1/19/21,A,Construction,8
1/19/21,A,Agriculture,4
1/19/21,A,Transportation,79
1/19/21,A,Communication Services,189
1/19/21,A,Consulting,25
1/19/21,A,Janitorial Services,24
1/20/21,B,Financial Services,41
1/20/21,B,Retail,147
1/20/21,B,Beauty Industry,66
1/20/21,B,Construction,8
1/20/21,B,Agriculture,5
1/20/21,B,Transportation,159
1/20/21,B,Communication Services,533
1/20/21,B,Consulting,66
1/20/21,B,Janitorial Services,60
1/20/21,A,Financial Services,21
1/20/21,A,Retail,66
1/20/21,A,Beauty Industry,16
1/20/21,A,Construction,6
1/20/21,A,Transportation,72
1/20/21,A,Communication Services,153
1/20/21,A,Consulting,15
1/20/21,A,Janitorial Services,20
1/21/21,B,Financial Services,59
1/21/21,B,Retail,158
1/21/21,B,Beauty Industry,49
1/21/21,B,Construction,13
1/21/21,B,Agriculture,3
1/21/21,B,Transportation,171
1/21/21,B,Communication Services,554
1/21/21,B,Consulting,69
1/21/21,B,Janitorial Services,48
1/21/21,A,Financial Services,28
1/21/21,A,Retail,72
1/21/21,A,Beauty Industry,25
1/21/21,A,Construction,4
1/21/21,A,Transportation,82
1/21/21,A,Communication Services,182
1/21/21,A,Consulting,27
1/21/21,A,Janitorial Services,22
1/22/21,B,Financial Services,48
1/22/21,B,Retail,160
1/22/21,B,Beauty Industry,50
1/22/21,B,Construction,14
1/22/21,B,Agriculture,3
1/22/21,B,Transportation,125
1/22/21,B,Communication Services,557
1/22/21,B,Consulting,48
1/22/21,B,Janitorial Services,51
1/22/21,A,Financial Services,19
1/22/21,A,Retail,70
1/22/21,A,Beauty Industry,25
1/22/21,A,Construction,4
1/22/21,A,Transportation,75
1/22/21,A,Communication Services,172
1/22/21,A,Consulting,29
1/22/21,A,Janitorial Services,18
1/23/21,B,Financial Services,21
1/23/21,B,Retail,62
1/23/21,B,Beauty Industry,39
1/23/21,B,Construction,6
1/23/21,B,Transportation,85
1/23/21,B,Communication Services,200
1/23/21,B,Consulting,30
1/23/21,B,Janitorial Services,26
1/23/21,A,Financial Services,11
1/23/21,A,Retail,39
1/23/21,A,Beauty Industry,17
1/23/21,A,Construction,3
1/23/21,A,Agriculture,3
1/23/21,A,Transportation,59
1/23/21,A,Communication Services,127
1/23/21,A,Consulting,13
1/23/21,A,Janitorial Services,10
1/24/21,B,Financial Services,24
1/24/21,B,Retail,71
1/24/21,B,Beauty Industry,22
1/24/21,B,Construction,6
1/24/21,B,Transportation,64
1/24/21,B,Communication Services,203
1/24/21,B,Consulting,32
1/24/21,B,Janitorial Services,19
1/24/21,A,Financial Services,11
1/24/21,A,Retail,50
1/24/21,A,Beauty Industry,11
1/24/21,A,Construction,4
1/24/21,A,Transportation,69
1/24/21,A,Communication Services,110
1/24/21,A,Consulting,15
1/24/21,A,Janitorial Services,13
1/25/21,B,Financial Services,60
1/25/21,B,Retail,158
1/25/21,B,Beauty Industry,72
1/25/21,B,Construction,6
1/25/21,B,Agriculture,5
1/25/21,B,Transportation,175
1/25/21,B,Communication Services,636
1/25/21,B,Consulting,82
1/25/21,B,Janitorial Services,58
1/25/21,A,Financial Services,18
1/25/21,A,Retail,69
1/25/21,A,Beauty Industry,26
1/25/21,A,Construction,6
1/25/21,A,Agriculture,3
1/25/21,A,Transportation,83
1/25/21,A,Communication Services,227
1/25/21,A,Consulting,37
1/25/21,A,Janitorial Services,22
1/26/21,B,Financial Services,53
1/26/21,B,Retail,134
1/26/21,B,Beauty Industry,58
1/26/21,B,Construction,11
1/26/21,B,Transportation,158
1/26/21,B,Communication Services,653
1/26/21,B,Consulting,62
1/26/21,B,Janitorial Services,66
1/26/21,A,Financial Services,26
1/26/21,A,Retail,68
1/26/21,A,Beauty Industry,30
1/26/21,A,Construction,7
1/26/21,A,Agriculture,3
1/26/21,A,Transportation,77
1/26/21,A,Communication Services,208
1/26/21,A,Consulting,26
1/26/21,A,Janitorial Services,26
1/27/21,B,Financial Services,64
1/27/21,B,Retail,159
1/27/21,B,Beauty Industry,71
1/27/21,B,Construction,15
1/27/21,B,Transportation,143
1/27/21,B,Communication Services,586
1/27/21,B,Consulting,60
1/27/21,B,Janitorial Services,60
1/27/21,A,Financial Services,18
1/27/21,A,Retail,74
1/27/21,A,Beauty Industry,20
1/27/21,A,Construction,5
1/27/21,A,Transportation,83
1/27/21,A,Communication Services,212
1/27/21,A,Consulting,22
1/27/21,A,Janitorial Services,17
1/28/21,B,Financial Services,47
1/28/21,B,Retail,187
1/28/21,B,Beauty Industry,88
1/28/21,B,Construction,9
1/28/21,B,Agriculture,5
1/28/21,B,Transportation,164
1/28/21,B,Communication Services,609
1/28/21,B,Consulting,86
1/28/21,B,Janitorial Services,57
1/28/21,A,Financial Services,20
1/28/21,A,Retail,61
1/28/21,A,Beauty Industry,20
1/28/21,A,Construction,4
1/28/21,A,Agriculture,3
1/28/21,A,Transportation,76
1/28/21,A,Communication Services,195
1/28/21,A,Consulting,24
1/28/21,A,Janitorial Services,26
1/29/21,B,Financial Services,41
1/29/21,B,Retail,125
1/29/21,B,Beauty Industry,44
1/29/21,B,Construction,8
1/29/21,B,Agriculture,5
1/29/21,B,Transportation,121
1/29/21,B,Communication Services,563
1/29/21,B,Consulting,57
1/29/21,B,Janitorial Services,58
1/29/21,A,Financial Services,25
1/29/21,A,Retail,60
1/29/21,A,Beauty Industry,28
1/29/21,A,Construction,6
1/29/21,A,Agriculture,3
1/29/21,A,Transportation,82
1/29/21,A,Communication Services,189
1/29/21,A,Consulting,33
1/29/21,A,Janitorial Services,20
1/30/21,B,Financial Services,27
1/30/21,B,Retail,63
1/30/21,B,Beauty Industry,43
1/30/21,B,Agriculture,3
1/30/21,B,Transportation,82
1/30/21,B,Communication Services,238
1/30/21,B,Consulting,43
1/30/21,B,Janitorial Services,19
1/30/21,A,Financial Services,17
1/30/21,A,Retail,39
1/30/21,A,Beauty Industry,14
1/30/21,A,Construction,5
1/30/21,A,Transportation,50
1/30/21,A,Communication Services,126
1/30/21,A,Consulting,11
1/30/21,A,Janitorial Services,7
1/31/21,B,Financial Services,24
1/31/21,B,Retail,81
1/31/21,B,Beauty Industry,36
1/31/21,B,Construction,7
1/31/21,B,Agriculture,4
1/31/21,B,Transportation,94
1/31/21,B,Communication Services,275
1/31/21,B,Consulting,26
1/31/21,B,Janitorial Services,20
1/31/21,A,Financial Services,10
1/31/21,A,Retail,38
1/31/21,A,Beauty Industry,22
1/31/21,A,Construction,4
1/31/21,A,Transportation,52
1/31/21,A,Communication Services,127
1/31/21,A,Consulting,18
1/31/21,A,Janitorial Services,13
2/1/21,B,Financial Services,75
2/1/21,B,Retail,191
2/1/21,B,Beauty Industry,71
2/1/21,B,Construction,7
2/1/21,B,Agriculture,6
2/1/21,B,Transportation,187
2/1/21,B,Communication Services,759
2/1/21,B,Consulting,72
2/1/21,B,Janitorial Services,83
2/1/21,A,Financial Services,26
2/1/21,A,Retail,69
2/1/21,A,Beauty Industry,24
2/1/21,A,Construction,11
2/1/21,A,Transportation,83
2/1/21,A,Communication Services,231
2/1/21,A,Consulting,36
2/1/21,A,Janitorial Services,40
2/2/21,B,Financial Services,52
2/2/21,B,Retail,206
2/2/21,B,Beauty Industry,82
2/2/21,B,Construction,10
2/2/21,B,Agriculture,5
2/2/21,B,Transportation,142
2/2/21,B,Communication Services,721
2/2/21,B,Consulting,74
2/2/21,B,Janitorial Services,51
2/2/21,A,Financial Services,36
2/2/21,A,Retail,75
2/2/21,A,Beauty Industry,25
2/2/21,A,Construction,6
2/2/21,A,Agriculture,3
2/2/21,A,Transportation,83
2/2/21,A,Communication Services,206
2/2/21,A,Consulting,28
2/2/21,A,Janitorial Services,28
2/3/21,B,Financial Services,53
2/3/21,B,Retail,145
2/3/21,B,Beauty Industry,71
2/3/21,B,Construction,7
2/3/21,B,Agriculture,4
2/3/21,B,Transportation,175
2/3/21,B,Communication Services,655
2/3/21,B,Consulting,62
2/3/21,B,Janitorial Services,75
2/3/21,A,Financial Services,21
2/3/21,A,Retail,64
2/3/21,A,Beauty Industry,25
2/3/21,A,Construction,7
2/3/21,A,Agriculture,4
2/3/21,A,Transportation,90
2/3/21,A,Communication Services,208
2/3/21,A,Consulting,30
2/3/21,A,Janitorial Services,19
2/4/21,B,Financial Services,44
2/4/21,B,Retail,150
2/4/21,B,Beauty Industry,70
2/4/21,B,Construction,6
2/4/21,B,Agriculture,3
2/4/21,B,Transportation,180
2/4/21,B,Communication Services,664
2/4/21,B,Consulting,70
2/4/21,B,Janitorial Services,74
2/4/21,A,Financial Services,29
2/4/21,A,Retail,72
2/4/21,A,Beauty Industry,24
2/4/21,A,Construction,4
2/4/21,A,Transportation,81
2/4/21,A,Communication Services,162
2/4/21,A,Consulting,39
2/4/21,A,Janitorial Services,16
2/5/21,B,Financial Services,50
2/5/21,B,Retail,136
2/5/21,B,Beauty Industry,54
2/5/21,B,Construction,10
2/5/21,B,Agriculture,5
2/5/21,B,Transportation,147
2/5/21,B,Communication Services,523
2/5/21,B,Consulting,47
2/5/21,B,Janitorial Services,42
2/5/21,A,Financial Services,22
2/5/21,A,Retail,75
2/5/21,A,Beauty Industry,24
2/5/21,A,Construction,6
2/5/21,A,Transportation,63
2/5/21,A,Communication Services,156
2/5/21,A,Consulting,21
2/5/21,A,Janitorial Services,16
2/6/21,B,Financial Services,25
2/6/21,B,Retail,86
2/6/21,B,Beauty Industry,29
2/6/21,B,Construction,7
2/6/21,B,Transportation,62
2/6/21,B,Communication Services,233
2/6/21,B,Consulting,31
2/6/21,B,Janitorial Services,24
2/6/21,A,Financial Services,19
2/6/21,A,Retail,36
2/6/21,A,Beauty Industry,14
2/6/21,A,Construction,5
2/6/21,A,Transportation,60
2/6/21,A,Communication Services,96
2/6/21,A,Consulting,20
2/6/21,A,Janitorial Services,10
2/7/21,B,Financial Services,25
2/7/21,B,Retail,73
2/7/21,B,Beauty Industry,37
2/7/21,B,Construction,4
2/7/21,B,Transportation,68
2/7/21,B,Communication Services,193
2/7/21,B,Consulting,25
2/7/21,B,Janitorial Services,26
2/7/21,A,Financial Services,15
2/7/21,A,Retail,30
2/7/21,A,Beauty Industry,9
2/7/21,A,Construction,3
2/7/21,A,Transportation,42
2/7/21,A,Communication Services,93
2/7/21,A,Consulting,11
2/7/21,A,Janitorial Services,11
2/8/21,B,Financial Services,51
2/8/21,B,Retail,169
2/8/21,B,Beauty Industry,61
2/8/21,B,Construction,9
2/8/21,B,Transportation,171
2/8/21,B,Communication Services,657
2/8/21,B,Consulting,79
2/8/21,B,Janitorial Services,65
2/8/21,A,Financial Services,21
2/8/21,A,Retail,70
2/8/21,A,Beauty Industry,21
2/8/21,A,Construction,7
2/8/21,A,Transportation,87
2/8/21,A,Communication Services,189
2/8/21,A,Consulting,29
2/8/21,A,Janitorial Services,15
2/9/21,B,Financial Services,46
2/9/21,B,Retail,170
2/9/21,B,Beauty Industry,60
2/9/21,B,Construction,9
2/9/21,B,Agriculture,3
2/9/21,B,Transportation,157
2/9/21,B,Communication Services,586
2/9/21,B,Consulting,60
2/9/21,B,Janitorial Services,62
2/9/21,A,Financial Services,22
2/9/21,A,Retail,76
2/9/21,A,Beauty Industry,22
2/9/21,A,Construction,3
2/9/21,A,Transportation,82
2/9/21,A,Communication Services,185
2/9/21,A,Consulting,21
2/9/21,A,Janitorial Services,9
2/10/21,B,Financial Services,44
2/10/21,B,Retail,174
2/10/21,B,Beauty Industry,80
2/10/21,B,Construction,8
2/10/21,B,Transportation,180
2/10/21,B,Communication Services,579
2/10/21,B,Consulting,58
2/10/21,B,Janitorial Services,66
2/10/21,A,Financial Services,30
2/10/21,A,Retail,60
2/10/21,A,Beauty Industry,22
2/10/21,A,Construction,6
2/10/21,A,Transportation,91
2/10/21,A,Communication Services,194
2/10/21,A,Consulting,27
2/10/21,A,Janitorial Services,21
2/11/21,B,Financial Services,48
2/11/21,B,Retail,174
2/11/21,B,Beauty Industry,49
2/11/21,B,Construction,10
2/11/21,B,Transportation,156
2/11/21,B,Communication Services,624
2/11/21,B,Consulting,62
2/11/21,B,Janitorial Services,65
2/11/21,A,Financial Services,20
2/11/21,A,Retail,81
2/11/21,A,Beauty Industry,20
2/11/21,A,Construction,5
2/11/21,A,Transportation,85
2/11/21,A,Communication Services,187
2/11/21,A,Consulting,38
2/11/21,A,Janitorial Services,21
2/12/21,B,Financial Services,44
2/12/21,B,Retail,136
2/12/21,B,Beauty Industry,52
2/12/21,B,Construction,6
2/12/21,B,Agriculture,3
2/12/21,B,Transportation,149
2/12/21,B,Communication Services,438
2/12/21,B,Consulting,63
2/12/21,B,Janitorial Services,35
2/12/21,A,Financial Services,14
2/12/21,A,Retail,54
2/12/21,A,Beauty Industry,30
2/12/21,A,Construction,4
2/12/21,A,Agriculture,3
2/12/21,A,Transportation,58
2/12/21,A,Communication Services,158
2/12/21,A,Consulting,40
2/12/21,A,Janitorial Services,27
2/13/21,B,Financial Services,22
2/13/21,B,Retail,52
2/13/21,B,Beauty Industry,21
2/13/21,B,Construction,5
2/13/21,B,Agriculture,4
2/13/21,B,Transportation,64
2/13/21,B,Communication Services,224
2/13/21,B,Consulting,15
2/13/21,B,Janitorial Services,13
2/13/21,A,Financial Services,13
2/13/21,A,Retail,42
2/13/21,A,Beauty Industry,13
2/13/21,A,Transportation,60
2/13/21,A,Communication Services,124
2/13/21,A,Consulting,16
2/13/21,A,Janitorial Services,6
2/14/21,B,Financial Services,13
2/14/21,B,Retail,65
2/14/21,B,Beauty Industry,20
2/14/21,B,Construction,6
2/14/21,B,Transportation,62
2/14/21,B,Communication Services,187
2/14/21,B,Consulting,21
2/14/21,B,Janitorial Services,13
2/14/21,A,Financial Services,18
2/14/21,A,Retail,36
2/14/21,A,Beauty Industry,10
2/14/21,A,Construction,3
2/14/21,A,Transportation,41
2/14/21,A,Communication Services,98
2/14/21,A,Consulting,21
2/14/21,A,Janitorial Services,11
2/15/21,B,Financial Services,31
2/15/21,B,Retail,118
2/15/21,B,Beauty Industry,64
2/15/21,B,Construction,8
2/15/21,B,Transportation,120
2/15/21,B,Communication Services,525
2/15/21,B,Consulting,62
2/15/21,B,Janitorial Services,57
2/15/21,A,Financial Services,24
2/15/21,A,Retail,63
2/15/21,A,Beauty Industry,30
2/15/21,A,Construction,4
2/15/21,A,Agriculture,3
2/15/21,A,Transportation,81
2/15/21,A,Communication Services,193
2/15/21,A,Consulting,25
2/15/21,A,Janitorial Services,17
2/16/21,B,Financial Services,52
2/16/21,B,Retail,145
2/16/21,B,Beauty Industry,55
2/16/21,B,Construction,9
2/16/21,B,Agriculture,4
2/16/21,B,Transportation,154
2/16/21,B,Communication Services,526
2/16/21,B,Consulting,61
2/16/21,B,Janitorial Services,48
2/16/21,A,Financial Services,29
2/16/21,A,Retail,70
2/16/21,A,Beauty Industry,25
2/16/21,A,Construction,7
2/16/21,A,Transportation,82
2/16/21,A,Communication Services,197
2/16/21,A,Consulting,40
2/16/21,A,Janitorial Services,20
2/17/21,B,Financial Services,32
2/17/21,B,Retail,141
2/17/21,B,Beauty Industry,53
2/17/21,B,Construction,7
2/17/21,B,Agriculture,3
2/17/21,B,Transportation,161
2/17/21,B,Communication Services,521
2/17/21,B,Consulting,62
2/17/21,B,Janitorial Services,46
2/17/21,A,Financial Services,27
2/17/21,A,Retail,84
2/17/21,A,Beauty Industry,16
2/17/21,A,Construction,3
2/17/21,A,Agriculture,3
2/17/21,A,Transportation,102
2/17/21,A,Communication Services,184
2/17/21,A,Consulting,21
2/17/21,A,Janitorial Services,20
2/18/21,B,Financial Services,68
2/18/21,B,Retail,142
2/18/21,B,Beauty Industry,57
2/18/21,B,Construction,6
2/18/21,B,Agriculture,3
2/18/21,B,Transportation,145
2/18/21,B,Communication Services,568
2/18/21,B,Consulting,82
2/18/21,B,Janitorial Services,41
2/18/21,A,Financial Services,20
2/18/21,A,Retail,80
2/18/21,A,Beauty Industry,32
2/18/21,A,Construction,5
2/18/21,A,Transportation,73
2/18/21,A,Communication Services,214
2/18/21,A,Consulting,32
2/18/21,A,Janitorial Services,29
2/19/21,B,Financial Services,41
2/19/21,B,Retail,131
2/19/21,B,Beauty Industry,64
2/19/21,B,Construction,5
2/19/21,B,Agriculture,4
2/19/21,B,Transportation,138
2/19/21,B,Communication Services,534
2/19/21,B,Consulting,59
2/19/21,B,Janitorial Services,71
2/19/21,A,Financial Services,18
2/19/21,A,Retail,65
2/19/21,A,Beauty Industry,32
2/19/21,A,Construction,7
2/19/21,A,Agriculture,3
2/19/21,A,Transportation,73
2/19/21,A,Communication Services,147
2/19/21,A,Consulting,27
2/19/21,A,Janitorial Services,19
2/20/21,B,Financial Services,35
2/20/21,B,Retail,81
2/20/21,B,Beauty Industry,33
2/20/21,B,Construction,5
2/20/21,B,Transportation,85
2/20/21,B,Communication Services,267
2/20/21,B,Consulting,37
2/20/21,B,Janitorial Services,24
2/20/21,A,Financial Services,10
2/20/21,A,Retail,28
2/20/21,A,Beauty Industry,8
2/20/21,A,Construction,4
2/20/21,A,Transportation,46
2/20/21,A,Communication Services,77
2/20/21,A,Consulting,14
2/20/21,A,Janitorial Services,13
2/21/21,B,Financial Services,28
2/21/21,B,Retail,95
2/21/21,B,Beauty Industry,22
2/21/21,B,Construction,5
2/21/21,B,Agriculture,3
2/21/21,B,Transportation,83
2/21/21,B,Communication Services,253
2/21/21,B,Consulting,42
2/21/21,B,Janitorial Services,21
2/21/21,A,Financial Services,9
2/21/21,A,Retail,40
2/21/21,A,Beauty Industry,10
2/21/21,A,Transportation,38
2/21/21,A,Communication Services,107
2/21/21,A,Consulting,13
2/21/21,A,Janitorial Services,7
2/22/21,B,Financial Services,58
2/22/21,B,Retail,191
